Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2023-12-30 12:49:53,16650,25443,14938,12320,2573,31047
2023-12-30 12:49:53,28530,14936,12320,2573,31047,28530
2023-12-30 12:49:53,14937,12320,2573,31047,28530,14938
2023-12-30 12:49:54,12320,2573,25409,22627,8250,3376
2023-12-30 12:49:54,16650,25443,14937,12320,2573,25409
2023-12-30 12:49:54,23139,8250,3376,18186,29305,22639
2023-12-30 12:49:54,8250,3376,18186,29305,22895,8250
2023-12-30 12:49:54,3376,18186,29305,23151,8250,3376
2023-12-30 12:49:55,16650,25443,14936,12320,2573,25409
2023-12-30 12:49:55,22883,8250,3376,16650,25443,14938
2023-12-30 12:49:55,12320,2573,31047,28530,14936,12320
2023-12-30 12:49:55,2573,31047,28530,14937,12320,2573
2023-12-30 12:49:56,31047,28530,14938,12320,2573,25409
2023-12-30 12:49:56,22627,8250,3376,16650,25443,14937
2023-12-30 12:49:56,12320,2573,25409,23139,8250,3376
2023-12-30 12:49:56,18186,29305,22639,8250,3376,18186
2023-12-30 12:49:56,29305,22895,8250,3376,18186,29305
2023-12-30 12:49:57,23151,8250,3376,16650,25443,14936
2023-12-30 12:49:57,12320,2573,25409,22883,8250,3376
2023-12-30 12:49:57,16650,25443,14938,12320,2573,31047
2023-12-30 12:49:57,28530,14936,12320,2573,31047,28530
2023-12-30 12:49:57,14937,12320,2573,31047,28530,14938
2023-12-30 12:49:58,12320,2573,25409,22627,8250,3376
2023-12-30 12:49:58,16650,25443,14937,12320,2573,25409
2023-12-30 12:49:58,23139,8250,3376,18186,29305,22639
2023-12-30 12:49:58,8250,3376,18186,29305,22895,8250
2023-12-30 12:49:58,3376,18186,29305,23151,8250,3376
2023-12-30 12:49:59,16650,25443,14936,12320,2573,25409
2023-12-30 12:49:59,22883,8250,3376,16650,25443,14938
2023-12-30 12:49:59,12320,2573,31047,28530,14936,12320
2023-12-30 12:49:59,2573,31047,28530,14937,12320,2573
2023-12-30 12:50:00,31047,28530,14938,12320,2573,25409
2023-12-30 12:50:00,22627,8250,3376,16650,25443,14937
2023-12-30 12:50:00,12320,2573,25409,23139,8250,3376
2023-12-30 12:50:00,18186,29305,22639,8250,3376,18186
2023-12-30 12:50:00,29305,22895,8250,3376,18186,29305
